c2,s,BandGap1,BandGap2,BandGap3,BandGap4,BandGap5,BandGap6,BandGap7
12.9,0.02,0.31989,0.63486,0.93992,1.2311,1.5041,1.7565,1.9847
13.05,0.02,0.32222,0.63948,0.94675,1.24,1.5149,1.7691,1.9988
13.2,0.02,0.32454,0.64407,0.95353,1.2489,1.5257,1.7816,2.0129
13.35,0.02,0.32684,0.64863,0.96026,1.2577,1.5364,1.794,2.0269
13.5,0.02,0.32912,0.65316,0.96695,1.2664,1.547,1.8064,2.0407
13.65,0.02,0.3314,0.65767,0.9736,1.2751,1.5576,1.8187,2.0545
13.8,0.02,0.33365,0.66214,0.98021,1.2837,1.568,1.8309,2.0682
13.95,0.02,0.3359,0.66658,0.98677,1.2923,1.5785,1.843,2.0818
14.1,0.02,0.33812,0.671,0.99329,1.3008,1.5888,1.855,2.0954
14.25,0.02,0.34034,0.67539,0.99978,1.3093,1.5991,1.867,2.1088
14.4,0.02,0.34254,0.67975,1.0062,1.3177,1.6094,1.8789,2.1222
14.55,0.02,0.34473,0.68409,1.0126,1.326,1.6195,1.8907,2.1355
14.7,0.02,0.34691,0.6884,1.019,1.3344,1.6296,1.9024,2.1487
14.85,0.02,0.34907,0.69269,1.0253,1.3426,1.6397,1.9141,2.1618
15,0.02,0.35122,0.69695,1.0316,1.3508,1.6497,1.9258,2.1749
0.15,0.03,0.05146,0.10223,0.15231,0.20042,0.24744,0.2914,0.33441
0.3,0.03,0.053556,0.1067,0.15937,0.21086,0.26156,0.31042,0.35853
0.45,0.03,0.046671,0.09305,0.13902,0.18413,0.22851,0.27157,0.31375
0.6,0.03,0.035826,0.071426,0.10665,0.1412,0.17504,0.20781,0.23962
0.75,0.03,0.023056,0.04595,0.068542,0.090652,0.11218,0.13292,0.15283
0.9,0.03,0.0093634,0.018651,0.027791,0.036705,0.045329,0.053586,0.061423
1.05,0.03,0.004712,0.0093804,0.013961,0.018412,0.022691,0.02676,0.030578
1.2,0.03,0.018863,0.037529,0.055792,0.073471,0.090362,0.10631,0.12112
1.35,0.03,0.032912,0.06544,0.097179,0.12779,0.15686,0.18413,0.2092
1.5,0.03,0.046756,0.09291,0.13783,0.18099,0.22176,0.25976,0.29437
1.65,0.03,0.060333,0.11982,0.17757,0.23287,0.28485,0.33299,0.37647
1.8,0.03,0.073614,0.14612,0.21634,0.28336,0.34605,0.40379,0.45553
1.95,0.03,0.086582,0.17177,0.2541,0.33243,0.40537,0.4722,0.53165
2.1,0.03,0.099234,0.19678,0.29085,0.38009,0.46285,0.53829,0.60496
2.25,0.03,0.11157,0.22114,0.32661,0.42639,0.51855,0.60219,0.67564
2.4,0.03,0.1236,0.24488,0.36141,0.47137,0.57256,0.66401,0.74385
2.55,0.03,0.13534,0.26802,0.39528,0.51509,0.62496,0.72386,0.80975
2.7,0.03,0.14679,0.29058,0.42827,0.55761,0.67585,0.78188,0.8735
2.85,0.03,0.15796,0.31258,0.46042,0.59899,0.72529,0.83815,0.93523
3,0.03,0.16887,0.33405,0.49177,0.63928,0.77338,0.89281,0.99509
3.15,0.03,0.17952,0.35502,0.52235,0.67856,0.82018,0.94593,1.0532
3.3,0.03,0.18994,0.3755,0.5522,0.71686,0.86578,0.99763,1.1097
3.45,0.03,0.20012,0.39552,0.58136,0.75424,0.91024,1.048,1.1646
3.6,0.03,0.21009,0.4151,0.60986,0.79075,0.95362,1.097,1.2181
3.75,0.03,0.21984,0.43426,0.63774,0.82643,0.99597,1.1449,1.2702
3.9,0.03,0.2294,0.45302,0.66502,0.86133,1.0374,1.1917,1.3211
4.05,0.03,0.23876,0.4714,0.69173,0.89548,1.0778,1.2373,1.3707
4.2,0.03,0.24795,0.48942,0.71791,0.92892,1.1175,1.282,1.4193
4.35,0.03,0.25696,0.50709,0.74356,0.96168,1.1562,1.3257,1.4667
4.5,0.03,0.2658,0.52443,0.76873,0.9938,1.1942,1.3685,1.5132
4.65,0.03,0.27448,0.54146,0.79343,1.0253,1.2315,1.4104,1.5586
4.8,0.03,0.28301,0.55817,0.81768,1.0562,1.268,1.4516,1.6032
4.95,0.03,0.29139,0.5746,0.8415,1.0866,1.3039,1.4919,1.6469
5.1,0.03,0.29963,0.59075,0.86491,1.1164,1.3391,1.5315,1.6898
5.25,0.03,0.30774,0.60663,0.88792,1.1457,1.3737,1.5704,1.7319
5.4,0.03,0.31572,0.62226,0.91056,1.1745,1.4077,1.6086,1.7733
5.55,0.03,0.32357,0.63764,0.93283,1.2029,1.4412,1.6461,1.8139
5.7,0.03,0.3313,0.65278,0.95475,1.2308,1.4741,1.6831,1.8539
5.85,0.03,0.33892,0.66769,0.97634,1.2583,1.5065,1.7194,1.8932
6,0.03,0.34643,0.68239,0.99761,1.2853,1.5384,1.7552,1.9319
6.15,0.03,0.35382,0.69687,1.0186,1.312,1.5698,1.7904,1.9699
6.3,0.03,0.36112,0.71115,1.0392,1.3382,1.6007,1.8251,2.0074
6.45,0.03,0.36831,0.72523,1.0596,1.3641,1.6312,1.8593,2.0444
6.6,0.03,0.37541,0.73912,1.0797,1.3896,1.6613,1.893,2.0808
6.75,0.03,0.38242,0.75283,1.0995,1.4148,1.6909,1.9263,2.1167
6.9,0.03,0.38934,0.76636,1.1191,1.4397,1.7202,1.9591,2.1521
7.05,0.03,0.39616,0.77972,1.1384,1.4642,1.7491,1.9914,2.1871
7.2,0.03,0.40291,0.79291,1.1575,1.4884,1.7776,2.0233,2.2216
7.35,0.03,0.40957,0.80594,1.1763,1.5124,1.8057,2.0549,2.2556
7.5,0.03,0.41616,0.81882,1.1949,1.536,1.8335,2.086,2.2892
7.65,0.03,0.42266,0.83154,1.2133,1.5593,1.861,2.1168,2.3224
7.8,0.03,0.4291,0.84412,1.2315,1.5824,1.8881,2.1472,2.3552
7.95,0.03,0.43546,0.85656,1.2494,1.6052,1.9149,2.1772,2.3876
8.1,0.03,0.44175,0.86886,1.2672,1.6278,1.9415,2.2069,2.4197
8.25,0.03,0.44797,0.88102,1.2848,1.6501,1.9677,2.2363,2.4514
8.4,0.03,0.45413,0.89306,1.3022,1.6721,1.9936,2.2653,2.4827
8.55,0.03,0.46022,0.90497,1.3194,1.694,2.0193,2.294,2.5137
8.7,0.03,0.46625,0.91676,1.3364,1.7156,2.0447,2.3224,2.5444
8.85,0.03,0.47221,0.92842,1.3533,1.7369,2.0698,2.3506,2.5747
9,0.03,0.47812,0.93997,1.3699,1.7581,2.0947,2.3784,2.6047
9.15,0.03,0.48398,0.95141,1.3865,1.7791,2.1193,2.406,2.6345
9.3,0.03,0.48977,0.96274,1.4028,1.7998,2.1437,2.4333,2.6639
9.45,0.03,0.49551,0.97396,1.419,1.8204,2.1679,2.4603,2.693
9.6,0.03,0.5012,0.98508,1.4351,1.8407,2.1918,2.487,2.7219
